letter,frequency,percentage
а,5266,16.63
и,4256,13.44
л,2862,9.04
р,2235,7.06
у,1973,6.23
н,1332,4.21
б,1228,3.88
е,1157,3.65
ц,1150,3.63
в,1106,3.49
ь,942,2.97
д,755,2.38
я,658,2.08
к,461,1.46
с,425,1.34
ж,400,1.26
ш,393,1.24
м,385,1.22
тт,374,1.18
т,350,1.11
ч,341,1.08
кӏ,314,0.99
й,295,0.93
о,285,0.9
х,285,0.9
г,268,0.85
цц,260,0.82
ҡ,232,0.73
ғ,215,0.68
кк,201,0.63
ҡӏ,187,0.59
ҳ,166,0.52
цӏ,155,0.49
з,147,0.46
чӏ,137,0.43
ҡҡ,128,0.4
тӏ,97,0.31
п,96,0.3
чч,86,0.27
ъ,51,0.16
пп,10,0.03
пӏ,1,0.0
